Notes,County,County Code,Deaths,Population,Crude Rate,Deaths,Population,Crude Rate
,"Pike County, AL",1109,145,11419,1269.8,538,46533,1156.2
,"Randolph County, AL",1111,117,9198,1272,27,2699,1000.4
,"Russell County, AL",1113,241,19747,1220.4,25,1904,1313
,"St. Clair County, AL",1115,148,17120,864.5,52,4603,1129.7
,"Shelby County, AL",1117,169,24622,686.4,76,7216,1053.2
,"Sumter County, AL",1119,75,6524,1149.6,71,5824,1219.1
,"Talladega County, AL",1121,268,30115,889.9,147,13040,1127.3
,"Tallapoosa County, AL",1123,205,17540,1168.8,199,17661,1126.8
,"Tuscaloosa County, AL",1125,441,51712,852.8,4,291,1374.6 (Unreliable)
,"Walker County, AL",1127,278,30019,926.1,3,235,1276.6 (Unreliable)
,"Washington County, AL",1129,70,6540,1070.3,7,526,1330.8 (Unreliable)
,"Wilcox County, AL",1131,89,5789,1537.4,41,4260,962.4
,"Winston County, AL",1133,130,9696,1340.8,55,3737,1471.8
,"Alaska (all counties, 1979-1988)",2900,455,120525,377.5,96,7997,1200.5
,"Apache County, AZ",4001,68,14743,461.2,103,8534,1206.9
,"Cochise County, AZ",4003,255,35075,727,13,695,1870.5 (Unreliable)
,"Coconino County, AZ",4005,104,20896,497.7,7,569,1230.2 (Unreliable)
,"Gila County, AZ",4007,133,16597,801.3,20,1264,1582.3
,"Graham County, AZ",4009,56,8470,661.2,63,6581,957.3
,"Greenlee County, AZ",4011,36,4029,893.5,74,5653,1309
,"Maricopa County, AZ",4013,5188,627409,826.9,137,12234,1119.8
,"Mohave County, AZ",4015,269,29195,921.4,157,13513,1161.8
,"Navajo County, AZ",4017,113,21362,529,16,1415,1130.7 (Unreliable)
,"Pima County, AZ",4019,1851,218955,845.4,19,1148,1655.1 (Unreliable)
,"Pinal County, AZ",4021,299,36339,822.8,35,2563,1365.6
,"Santa Cruz County, AZ",4023,39,7901,493.6,19,2343,810.9 (Unreliable)
,"Yavapai County, AZ",4025,369,36956,998.5,27,2082,1296.8
,"Yuma County, AZ",4027,286,36150,791.1,46,4425,1039.5
,"Arkansas County, AR",5001,142,11103,1278.9,81,6994,1158.1
,"Ashley County, AR",5003,116,11418,1015.9,25,2237,1117.6
,"Baxter County, AR",5005,187,16651,1123.1,39,1790,2178.8
,"Benton County, AR",5007,366,37506,975.8,64,4027,1589.3
,"Boone County, AR",5009,133,12659,1050.6,34,3903,871.1
,"Bradley County, AR",5011,94,6868,1368.7,50,3381,1478.9
,"Calhoun County, AR",5013,34,2861,1188.4,84,7284,1153.2
,"Carroll County, AR",5015,92,8606,1069,148,11332,1306
,"Chicot County, AR",5017,68,7543,901.5,8,390,2051.3 (Unreliable)
,"Clark County, AR",5019,125,9855,1268.4,1,297,336.7 (Unreliable)
,"Clay County, AR",5021,127,10676,1189.6,9,687,1310.0 (Unreliable)
,"Cleburne County, AR",5023,91,9114,998.5,29,2988,970.5
,"Cleveland County, AR",5025,47,3723,1262.4,42,2575,1631.1
,"Columbia County, AR",5027,174,12219,1424,71,5563,1276.3
,"Conway County, AR",5029,122,8878,1374.2,80,6254,1279.2
,"Craighead County, AR",5031,291,25363,1147.3,3,130,2307.7 (Unreliable)
,"Crawford County, AR",5033,164,15600,1051.3,2,105,1904.8 (Unreliable)
,"Crittenden County, AR",5035,193,18441,1046.6,5,235,2127.7 (Unreliable)
,"Cross County, AR",5037,113,8250,1369.7,22,2859,769.5
,"Dallas County, AR",5039,70,4974,1407.3,32,2520,1269.8
,"Desha County, AR",5041,98,7920,1237.4,54,5379,1003.9
,"Drew County, AR",5043,69,7366,936.7,59,5621,1049.6
,"Faulkner County, AR",5045,160,17736,902.1,20,1330,1503.8
,"Franklin County, AR",5047,87,6861,1268,15,990,1515.2 (Unreliable)
,"Fulton County, AR",5049,65,5273,1232.7,35,2320,1508.6
,"Garland County, AR",5051,491,37013,1326.6,67,7621,879.1
,"Grant County, AR",5053,68,5903,1152,59,6617,891.6
,"Greene County, AR",5055,177,14055,1259.3,126,14238,885
,"Hempstead County, AR",5057,153,11198,1366.3,161,16633,968
,"Hot Spring County, AR",5059,133,12435,1069.6,15,1925,779.2 (Unreliable)
,"Howard County, AR",5061,83,6360,1305,14,1448,966.9 (Unreliable)
,"Independence County, AR",5063,167,13630,1225.2,29,3373,859.8
,"Izard County, AR",5065,69,6287,1097.5,94,11087,847.8
,"Jackson County, AR",5067,140,10014,1398,82,9522,861.2
,"Jefferson County, AR",5069,450,36871,1220.5,176,20609,854
,"Johnson County, AR",5071,115,8419,1366,205,24031,853.1
,"Lafayette County, AR",5073,67,4765,1406.1,22,1345,1635.7
,"Lawrence County, AR",5075,104,8862,1173.5,27,973,2774.9
,"Lee County, AR",5077,90,6479,1389.1,49,2318,2113.9
,"Lincoln County, AR",5079,73,5528,1320.5,20,2499,800.3
,"Little River County, AR",5081,70,5909,1184.6,20,2127,940.3
,"Logan County, AR",5083,149,9595,1552.9,40,4626,864.7
,"Lonoke County, AR",5085,153,14528,1053.1,89,6968,1277.3
,"Madison County, AR",5087,63,5485,1148.6,10,749,1335.1 (Unreliable)
,"Marion County, AR",5089,48,6126,783.5,8,647,1236.5 (Unreliable)
,"Miller County, AR",5091,199,16314,1219.8,18,1396,1289.4 (Unreliable)
,"Mississippi County, AR",5093,273,22603,1207.8,24,2001,1199.4
,"Monroe County, AR",5095,87,6340,1372.2,30,1757,1707.5
,"Montgomery County, AR",5097,48,4097,1171.6,54,3758,1436.9
,"Nevada County, AR",5099,77,5299,1453.1,72,5162,1394.8
,"Newton County, AR",5101,25,3493,715.7,10,1055,947.9 (Unreliable)
,"Ouachita County, AR",5103,165,14542,1134.6,7,720,972.2 (Unreliable)
,"Perry County, AR",5105,33,3384,975.2,17,1775,957.7 (Unreliable)
,"Phillips County, AR",5107,228,14190,1606.8,89,9108,977.2
,"Pike County, AR",5109,58,5000,1160,88,7287,1207.6
,"Poinsett County, AR",5111,127,11941,1063.6,177,16395,1079.6
,"Polk County, AR",5113,113,8635,1308.6,194,18201,1065.9
,"Pope County, AR",5115,170,16319,1041.7,13,826,1573.8 (Unreliable)
,"Prairie County, AR",5117,52,4731,1099.1,10,599,1669.4 (Unreliable)
,"Pulaski County, AR",5119,1405,131892,1065.3,23,1425,1614
,"Randolph County, AR",5121,98,7988,1226.8,26,2874,904.7
,"St. Francis County, AR",5123,147,11967,1228.4,42,2346,1790.3
,"Saline County, AR",5125,177,22280,794.4,68,5220,1302.7
,"Scott County, AR",5127,73,4895,1491.3,91,6657,1367
,"Searcy County, AR",5129,37,4466,828.5,2,104,1923.1 (Unreliable)
,"Sebastian County, AR",5131,392,41487,944.9,2,194,1030.9 (Unreliable)
,"Sevier County, AR",5133,86,6578,1307.4,132,14807,891.5
,"Sharp County, AR",5135,98,8140,1203.9,158,12887,1226
,"Stone County, AR",5137,62,4467,1388,290,27694,1047.2
,"Union County, AR",5139,308,22685,1357.7,292,27952,1044.6
,"Van Buren County, AR",5141,72,7166,1004.7,13,1135,1145.4 (Unreliable)
,"Washington County, AR",5143,403,38277,1052.9,9,914,984.7 (Unreliable)
,"White County, AR",5145,208,22018,944.7,22,2049,1073.7
,"Woodruff County, AR",5147,69,4986,1383.9,48,7232,663.7
,"Yell County, AR",5149,92,8453,1088.4,60,6631,904.8
,"Alameda County, CA",6001,4448,463214,960.2,108,13863,779.1
,"Alpine County, CA",6003,3,400,750.0 (Unreliable),130,16105,807.2
,"Amador County, CA",6005,105,10232,1026.2,53,6003,882.9
,"Butte County, CA",6007,667,64014,1042,56,4097,1366.9
,"Calaveras County, CA",6009,105,10825,970,109,10100,1079.2
,"Colusa County, CA",6011,67,5806,1154,61,6275,972.1
,"Contra Costa County, CA",6013,2027,287440,705.2,55,5023,1095
,"Del Norte County, CA",6015,83,7964,1042.2,116,11298,1026.7
,"El Dorado County, CA",6017,248,37084,668.8,225,21444,1049.2
,"Fresno County, CA",6019,1849,201252,918.7,2,191,1047.1 (Unreliable)
,"Glenn County, CA",6021,104,9555,1088.4,6,136,4411.8 (Unreliable)
,"Humboldt County, CA",6023,397,42488,934.4,8,327,2446.5 (Unreliable)
,"Imperial County, CA",6025,301,34693,867.6,114,12839,887.9
,"Inyo County, CA",6027,87,9046,961.8,146,10909,1338.3
,"Kern County, CA",6029,1393,158608,878.3,260,23748,1094.8
,"Kings County, CA",6031,252,26619,946.7,268,24130,1110.7
,"Lake County, CA",6033,242,20997,1152.5,24,1694,1416.8
,"Lassen County, CA",6035,74,8561,864.4,22,1317,1670.5
,"Los Angeles County, CA",6037,30442,3087436,986,46,3011,1527.7
,"Madera County, CA",6039,224,25565,876.2,83,8017,1035.3
,"Marin County, CA",6041,734,104630,701.5,85,7238,1174.4
,"Mariposa County, CA",6043,49,5541,884.3,168,15255,1101.3
,"Mendocino County, CA",6045,247,28903,854.6,214,18304,1169.1
,"Merced County, CA",6047,427,49274,866.6,31,2175,1425.3
,"Modoc County, CA",6049,35,4139,845.6,26,1693,1535.7
,"Mono County, CA",6051,10,2680,373.1 (Unreliable),57,3868,1473.6
,"Monterey County, CA",6053,866,107578,805,1,137,729.9 (Unreliable)
,"Napa County, CA",6055,438,47532,921.5,1,296,337.8 (Unreliable)
,"Nevada County, CA",6057,248,25426,975.4,58,6430,902
,"Orange County, CA",6059,5721,782868,730.8,67,5580,1200.7
,"Placer County, CA",6061,422,52837,798.7,125,12010,1040.8
,"Plumas County, CA",6063,85,7956,1068.4,183,16174,1131.4
,"Riverside County, CA",6065,3262,299385,1089.6,45,2952,1524.4
,"Sacramento County, CA",6067,2713,322058,842.4,34,2118,1605.3
,"San Benito County, CA",6069,76,9888,768.6,79,5070,1558.2
,"San Bernardino County, CA",6071,3349,348523,960.9,226,22702,995.5
,"San Diego County, CA",6073,6179,731832,844.3,223,18582,1200.1
,"San Francisco County, CA",6075,3657,327329,1117.2,449,41284,1087.6
,"San Joaquin County, CA",6077,1419,145891,972.6,528,46453,1136.6
,"San Luis Obispo County, CA",6079,665,64889,1024.8,6,518,1158.3 (Unreliable)
,"San Mateo County, CA",6081,2099,272073,771.5,6,418,1435.4 (Unreliable)
,"Santa Barbara County, CA",6083,1115,123688,901.5,12,936,1282.1 (Unreliable)
,"Santa Clara County, CA",6085,3424,508883,672.8,27,4140,652.2
,"Santa Cruz County, CA",6087,776,77631,999.6,52,3530,1473.1
,"Shasta County, CA",6089,399,50730,786.5,79,7670,1030
,"Sierra County, CA",6091,7,1472,475.5 (Unreliable),91,8620,1055.7
,"Siskiyou County, CA",6093,188,18094,1039,2,280,714.3 (Unreliable)
,"Solano County, CA",6095,633,85625,739.3,3,213,1408.5 (Unreliable)
,"Sonoma County, CA",6097,1259,131687,956.1,5,493,1014.2 (Unreliable)
,"Stanislaus County, CA",6099,1025,108541,944.3,64,6836,936.2
,"Sutter County, CA",6101,197,22280,884.2,78,5769,1352.1
,"Tehama County, CA",6103,206,18582,1108.6,142,12605,1126.5
,"Trinity County, CA",6105,50,5430,920.8,147,13117,1120.7
,"Tulare County, CA",6107,942,96650,974.7,6,615,975.6 (Unreliable)
,"Tuolumne County, CA",6109,152,15840,959.6,15,443,3386.0 (Unreliable)
,"Ventura County, CA",6111,1446,206012,701.9,21,1058,1984.9
,"Yolo County, CA",6113,412,40972,1005.6,46,5450,844
,"Yuba County, CA",6115,145,18542,782,63,4631,1360.4
,"Adams County, CO",8001,508,83566,607.9,109,10081,1081.2
,"Alamosa County, CO",8003,33,4093,806.3,130,11203,1160.4
,"Arapahoe County, CO",8005,563,109601,513.7,27,1833,1473
,"Archuleta County, CO",8007,9,1535,586.3 (Unreliable),22,1312,1676.8
,"Baca County, CO",8009,23,2536,906.9,49,3145,1558
,"Bent County, CO",8011,20,2837,705,15,755,1986.8 (Unreliable)
,"Boulder County, CO",8013,360,63354,568.2,9,584,1541.1 (Unreliable)
,"Chaffee County, CO",8015,52,5532,940,24,1339,1792.4
,"Cheyenne County, CO",8017,11,996,1104.4 (Unreliable),73,4489,1626.2
,"Clear Creek County, CO",8019,14,2411,580.7 (Unreliable),30,2046,1466.3
,"Conejos County, CO",8021,33,3019,1093.1,28,1485,1885.5
,"Costilla County, CO",8023,21,1372,1530.6,58,3531,1642.6
,"Crowley County, CO",8025,21,1576,1332.5,14,1641,853.1 (Unreliable)
,"Custer County, CO",8027,4,694,576.4 (Unreliable),24,1333,1800.5
,"Delta County, CO",8029,105,10404,1009.2,38,2974,1277.7
,"Denver County, CO",8031,2001,202530,988,96,6516,1473.3
,"Dolores County, CO",8033,6,723,829.9 (Unreliable),13,1201,1082.4 (Unreliable)
,"Douglas County, CO",8035,43,10109,425.4,13,855,1520.5 (Unreliable)
,"Eagle County, CO",8037,10,3326,300.7 (Unreliable),26,2056,1264.6
,"Elbert County, CO",8039,23,2724,844.3,23,2567,896
,"El Paso County, CO",8041,752,108994,689.9,28,2165,1293.3
,"Fremont County, CO",8043,204,13675,1491.8,51,4732,1077.8
,"Garfield County, CO",8045,64,8307,770.4,77,6795,1133.2
,"Gilpin County, CO",8047,5,906,551.9 (Unreliable),22,3271,672.6
,"Grand County, CO",8049,14,2437,574.5 (Unreliable),35,2387,1466.3
,"Gunnison County, CO",8051,15,2683,559.1 (Unreliable),57,5658,1007.4
,"Hinsdale County, CO",8053,1,170,588.2 (Unreliable),100,13451,743.4
,"Huerfano County, CO",8055,42,3177,1322,99,11556,856.7
,"Jackson County, CO",8057,1,743,134.6 (Unreliable),199,25007,795.8
,"Jefferson County, CO",8059,839,142016,590.8,256,30813,830.8
,"Kiowa County, CO",8061,11,1085,1013.8 (Unreliable),8,456,1754.4 (Unreliable)
,"Kit Carson County, CO",8063,40,3416,1171,7,351,1994.3 (Unreliable)
,"Lake County, CO",8065,8,2487,321.7 (Unreliable),15,807,1858.7 (Unreliable)
,"La Plata County, CO",8067,87,10049,865.8,1,41,2439.0 (Unreliable)
,"Larimer County, CO",8069,382,50924,750.1,1,78,1282.1 (Unreliable)
,"Las Animas County, CO",8071,78,6955,1121.5,79,10717,737.1
,"Lincoln County, CO",8073,35,2412,1451.1,83,9528,871.1
,"Logan County, CO",8075,68,8246,824.6,162,20245,800.2
,"Mesa County, CO",8077,289,32340,893.6,178,21130,842.4
,"Mineral County, CO",8079,3,338,887.6 (Unreliable),481,48294,996
,"Moffat County, CO",8081,27,4244,636.2,486,34519,1407.9
,"Montezuma County, CO",8083,55,6672,824.3,967,82813,1167.7
,"Montrose County, CO",8085,81,10571,766.2,1,394,253.8 (Unreliable)
,"Morgan County, CO",8087,94,9472,992.4,1,843,118.6 (Unreliable)
,"Otero County, CO",8089,109,9927,1098,1021,113735,897.7
,"Ouray County, CO",8091,3,875,342.9 (Unreliable),930,90839,1023.8
,"Park County, CO",8093,11,1956,562.4 (Unreliable),1951,204574,953.7
,"Phillips County, CO",8095,31,2254,1375.3,2919,288230,1012.7
,"Pitkin County, CO",8097,5,3154,158.5 (Unreliable),5,387,1292.0 (Unreliable)
,"Prowers County, CO",8099,60,5343,1123,2,316,632.9 (Unreliable)
,"Pueblo County, CO",8101,517,53557,965.3,7,703,995.7 (Unreliable)
,"Rio Blanco County, CO",8103,22,2186,1006.4,42,3665,1146
,"Rio Grande County, CO",8105,52,4505,1154.3,39,3203,1217.6
,"Routt County, CO",8107,23,3783,608,81,6868,1179.4
,"Saguache County, CO",8109,18,1644,1094.9 (Unreliable),88,7580,1160.9
,"Sedgwick County, CO",8115,19,1667,1139.8 (Unreliable),5,1626,307.5 (Unreliable)
,"Summit County, CO",8117,4,1908,209.6 (Unreliable),11,1160,948.3 (Unreliable)
,"Teller County, CO",8119,23,3267,704,16,2786,574.3 (Unreliable)
,"Washington County, CO",8121,32,2571,1244.7,127,16974,748.2
,"Weld County, CO",8123,353,43983,802.6,126,14445,872.3
,"Yuma County, CO",8125,49,4457,1099.4,253,31419,805.2
,"Fairfield County, CT",9001,3412,384162,888.2,269,34303,784.2
,"Hartford County, CT",9003,3423,368708,928.4,16,912,1754.4 (Unreliable)
,"Litchfield County, CT",9005,737,73141,1007.6,7,699,1001.4 (Unreliable)
,"Middlesex County, CT",9007,576,57781,996.9,23,1611,1427.7
,"New Haven County, CT",9009,3751,345436,1085.9,39,5581,698.8
,"New London County, CT",9011,974,97781,996.1,39,5079,767.9
,"Tolland County, CT",9013,303,42647,710.5,78,10660,731.7
,"Windham County, CT",9015,387,38793,997.6,101,12289,821.9
,"Kent County, DE",10001,359,37157,966.2,43,3719,1156.2
,"New Castle County, DE",10003,1590,166568,954.6,53,2663,1990.2
,"Sussex County, DE",10005,505,45609,1107.2,96,6382,1504.2
,"District of Columbia, DC",11001,2950,275478,1070.9,65,9388,692.4
,"Alachua County, FL",12001,353,45655,773.2,66,8434,782.5
,"Baker County, FL",12003,51,5815,877,131,17822,735
,"Bay County, FL",12005,361,40609,889,227,24362,931.8
,"Bradford County, FL",12007,73,8572,851.6,13,1289,1008.5 (Unreliable)
,"Brevard County, FL",12009,1047,133906,781.9,15,998,1503.0 (Unreliable)
,"Broward County, FL",12011,5921,553926,1068.9,28,2287,1224.3
,"Calhoun County, FL",12013,53,4321,1226.6,72,9014,798.8
,"Charlotte County, FL",12015,455,40659,1119.1,94,7807,1204
,"Citrus County, FL",12017,445,35605,1249.8,166,16821,986.9
,"Clay County, FL",12019,220,26602,827,194,19138,1013.7
,"Collier County, FL",12021,377,45992,819.7,13,1778,731.2 (Unreliable)
,"Columbia County, FL",12023,146,14659,996,11,1280,859.4 (Unreliable)
,"DeSoto County, FL",12027,105,8951,1173.1,24,3058,784.8
,"Dixie County, FL",12029,30,3551,844.8,12,920,1304.3 (Unreliable)
,"Duval County, FL",12031,2263,229282,987,7,738,948.5 (Unreliable)
,"Escambia County, FL",12033,825,93595,881.5,19,1658,1146.0 (Unreliable)
,"Flagler County, FL",12035,69,6178,1116.9,43,4719,911.2
,"Franklin County, FL",12037,45,3556,1265.5,61,4559,1338
,"Gadsden County, FL",12039,172,16658,1032.5,57,3530,1614.7
,"Gilchrist County, FL",12041,30,2632,1139.8,118,8089,1458.8
,"Glades County, FL",12043,25,3028,825.6,11,1056,1041.7 (Unreliable)
,"Gulf County, FL",12045,44,4833,910.4,19,1209,1571.5 (Unreliable)
,"Hamilton County, FL",12047,42,3478,1207.6,30,2265,1324.5
,"Hardee County, FL",12049,70,7912,884.7,148,10392,1424.2
,"Hendry County, FL",12051,81,7286,1111.7,62,5827,1064
,"Hernando County, FL",12053,310,27300,1135.5,41,4653,881.2
,"Highlands County, FL",12055,349,27713,1259.3,103,10480,982.8
,"Hillsborough County, FL",12057,2647,276866,956.1,187,35486,527
,"Holmes County, FL",12059,89,7005,1270.5,228,31738,718.4
,"Indian River County, FL",12061,311,32612,953.6,415,67224,617.3
,"Jackson County, FL",12063,231,17265,1338,518,78338,661.2
,"Jefferson County, FL",12065,44,4452,988.3,49,2887,1697.3
,"Lafayette County, FL",12067,17,1711,993.6 (Unreliable),48,2071,2317.7
,"Lake County, FL",12069,740,60512,1222.9,97,4958,1956.4
,"Lee County, FL",12071,1144,115513,990.4,22,2980,738.3
,"Leon County, FL",12073,308,47617,646.8,19,2561,741.9 (Unreliable)
,"Levy County, FL",12075,88,9817,896.4,41,5541,739.9
,"Liberty County, FL",12077,23,1889,1217.6,138,10516,1312.3
,"Madison County, FL",12079,69,6499,1061.7,2,145,1379.3 (Unreliable)
,"Manatee County, FL",12081,1060,86207,1229.6,2,124,1612.9 (Unreliable)
,"Marion County, FL",12083,589,62537,941.8,4,269,1487.0 (Unreliable)
,"Martin County, FL",12085,413,36797,1122.4,54,7150,755.2
,"Miami-Dade County, FL",12086,8018,807223,993.3,59,6163,957.3
,"Monroe County, FL",12087,231,32035,721.1,113,13313,848.8
,"Nassau County, FL",12089,87,13053,666.5,117,13609,859.7
,"Okaloosa County, FL",12091,275,41178,667.8,5,211,2369.7 (Unreliable)
,"Okeechobee County, FL",12093,86,8826,974.4,5,378,1322.8 (Unreliable)
,"Orange County, FL",12095,1819,197120,922.8,145,15734,921.6
,"Osceola County, FL",12097,307,24494,1253.4,159,13293,1196.1
,"Palm Beach County, FL",12099,3515,318158,1104.8,304,29027,1047.3
,"Pasco County, FL",12101,1511,125121,1207.6,309,29464,1048.7
,"Pinellas County, FL",12103,6283,435012,1444.3,227,21860,1038.4
,"Polk County, FL",12105,1506,147951,1017.9,179,16130,1109.7
,"Putnam County, FL",12107,251,24648,1018.3,406,37990,1068.7
,"St. Johns County, FL",12109,268,24515,1093.2,1,396,252.5 (Unreliable)
,"St. Lucie County, FL",12111,456,42436,1074.6,1,744,134.4 (Unreliable)
,"Santa Rosa County, FL",12113,165,21714,759.9,439,55410,792.3
,"Sarasota County, FL",12115,1556,127602,1219.4,470,47371,992.2
,"Seminole County, FL",12117,596,78350,760.7,909,102781,884.4
,"Sumter County, FL",12119,145,11998,1208.5,1316,141515,929.9
,"Suwannee County, FL",12121,101,10114,998.6,22,1837,1197.6
,"Taylor County, FL",12123,75,7145,1049.7,23,1367,1682.5
,"Union County, FL",12125,38,3525,1078,45,3204,1404.5
,"Volusia County, FL",12127,1849,141213,1309.4,25,3238,772.1
,"Wakulla County, FL",12129,32,4481,714.1,32,2756,1161.1
,"Walton County, FL",12131,104,10819,961.3,57,5994,951
,"Washington County, FL",12133,84,7068,1188.5,102,9255,1102.1
,"Appling County, GA",13001,59,6078,970.7,146,14500,1006.9
,"Atkinson County, GA",13003,30,2475,1212.1,99,10253,965.6
,"Bacon County, GA",13005,49,3832,1278.7,245,24753,989.8
,"Baker County, GA",13007,30,1547,1939.2,275,29177,942.5
,"Baldwin County, GA",13009,116,13812,839.8,208,23751,875.8
,"Banks County, GA",13011,26,3751,693.1,483,52928,912.6
,"Barrow County, GA",13013,97,9011,1076.5,728,77992,933.4
,"Bartow County, GA",13015,172,16894,1018.1,18,1698,1060.1 (Unreliable)
,"Ben Hill County, GA",13017,92,6959,1322,12,1234,972.4 (Unreliable)
,"Berrien County, GA",13019,72,5790,1243.5,30,2932,1023.2
,"Bibb County, GA",13021,721,62252,1158.2,111,18639,595.5
,"Bleckley County, GA",13023,57,4542,1255,156,16305,956.8
,"Brantley County, GA",13025,41,3314,1237.2,267,34944,764.1
,"Brooks County, GA",13027,95,6533,1454.2,297,37961,782.4
,"Bryan County, GA",13029,30,3712,808.2,24,1916,1252.6
,"Bulloch County, GA",13031,133,12624,1053.5,24,1353,1773.8
,"Burke County, GA",13033,98,7454,1314.7,48,3269,1468.3
,"Butts County, GA",13035,64,5398,1185.6,14,1580,886.1 (Unreliable)
,"Calhoun County, GA",13037,40,2441,1638.7,26,1286,2021.8
,"Camden County, GA",13039,50,5050,990.1,40,2866,1395.7
,"Candler County, GA",13043,51,3478,1466.4,88,6140,1433.2
,"Carroll County, GA",13045,222,22223,999,18,1824,986.8 (Unreliable)
,"Catoosa County, GA",13047,125,15150,825.1,20,1324,1510.6
,"Charlton County, GA",13049,32,2835,1128.7,38,3148,1207.1
,"Chatham County, GA",13051,869,80997,1072.9,28,3343,837.6
,"Chattahoochee County, GA",13053,15,2375,631.6 (Unreliable),39,2857,1365.1
,"Chattooga County, GA",13055,107,10001,1069.9,67,6200,1080.6
,"Cherokee County, GA",13057,149,18972,785.4,105,9364,1121.3
,"Clarke County, GA",13059,242,22601,1070.7,23,2036,1129.7
,"Clay County, GA",13061,34,1610,2111.8,22,1415,1554.8
,"Clayton County, GA",13063,257,51027,503.7,45,3451,1304
,"Clinch County, GA",13065,39,2570,1517.5,52,4411,1178.9
,"Cobb County, GA",13067,632,111674,565.9,48,3537,1357.1
,"Coffee County, GA",13069,131,10441,1254.7,100,7948,1258.2
,"Colquitt County, GA",13071,169,15164,1114.5,145,11419,1269.8
,"Columbia County, GA",13073,86,14146,607.9,14,946,1479.9 (Unreliable)
,"Cook County, GA",13075,70,5634,1242.5,16,750,2133.3 (Unreliable)
,"Coweta County, GA",13077,189,16607,1138.1,30,1696,1768.9
,"Crawford County, GA",13079,31,3022,1025.8,34,4155,818.3
