""AgeGroup""	""Age Group Code""	""Causeofdeath""	""Cause of death Code""	""Year""	""Year Code""	""Race""	""Race Code""	""Gender""	""Gender Code""	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	6	232347	2.6 (Unreliable)	0.9	5.6	1.1	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	223023	1.3 (Unreliable)	0.3	3.9	0.8	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	4	233688	1.7 (Unreliable)	0.5	4.4	0.9	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	2	218261	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	7	228465	3.1 (Unreliable)	1.2	6.3	1.2	0.0%"
"""10-14 years""	""10-14""	""Acute""	""204.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	3	225172	1.3 (Unreliable)	0.3	3.9	0.8	0.0%"
"""10-14 years""	""10-14""	""Acute""	""205.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Acute""	""205.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Acute""	""205.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Acute""	""205.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Acute""	""205.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Chronic""	""205.1""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	222373	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Chronic""	""205.1""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Unspecified""	""205.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Unspecified""	""206.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Leukemia, acute""	""207.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	232347	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Leukemia, acute""	""207.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	2	223023	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Leukemia, acute""	""207.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	233688	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Leukemia, acute""	""207.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	230728	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Leukemia, unspecified""	""207.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Leukemia, unspecified""	""207.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Leukemia, unspecified""	""207.9""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	218261	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Pituitary gland and craniopharyngeal duct (pouch)""	""226.2""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	223023	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Brain""	""238.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Brain""	""238.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""With mention of acidosis or coma""	""250.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""With mention of acidosis or coma""	""250.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""With mention of acidosis or coma""	""250.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Without mention of acidosis or coma""	""250.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Without mention of acidosis or coma""	""250.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Adrenal cortical hypofunction""	""255.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified""	""269.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Cystinosis""	""270.3""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	2	221530	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	223023	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	233688	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	222373	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1973""	""1973""	""Black or African American""	""2054-5""	""Male""	""M""	1	9721	10.3 (Unreliable)	0.3	57.3	10.3	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	2	218261	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	215367	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Cystic fibrosis""	""273.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Other""	""273.8""	""1971""	""1971""	""Black or African American""	""2054-5""	""Male""	""M""	1	9146	10.9 (Unreliable)	0.3	60.9	10.9	0.0%"
"""10-14 years""	""10-14""	""Other""	""273.8""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other""	""273.8""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Other""	""273.8""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other""	""273.8""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Hemoglobinopathies""	""282.5""	""1975""	""1975""	""Black or African American""	""2054-5""	""Female""	""F""	1	10083	9.9 (Unreliable)	0.3	55.3	9.9	0.0%"
"""10-14 years""	""10-14""	""Other""	""283.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	228465	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other""	""283.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	225172	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Aplastic anemia""	""284""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	223023	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""10-14 years""	""10-14""	""Aplastic anemia""	""284""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Aplastic anemia""	""284""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	232789	0.9 (Unreliable)	0.1	3.1	0.6	0.0%"
"""10-14 years""	""10-14""	""Aplastic anemia""	""284""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	2	228465	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified""	""289.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	215367	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified alcoholism""	""303.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified alcoholism""	""303.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified""	""314.9""	""1973""	""1973""	""Black or African American""	""2054-5""	""Female""	""F""	1	9716	10.3 (Unreliable)	0.3	57.3	10.3	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified""	""315.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	233688	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified""	""315.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	230728	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""Other and unspecified""	""315.9""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	218261	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""10-14 years""	""10-14""	""Due to other specified organism""	""320.8""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	221530	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""Due to other specified organism""	""320.8""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	220515	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""10-14 years""	""10-14""	""With no organism specified as cause""	""320.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	232347	0.4 (Unreliable)	0.0	2.4	0.4	0.0%"
"""10-14 years""	""10-14""	""With no organism specified as cause""	""320.9""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	1	9978	10.0 (Unreliable)	0.3	55.8	10.0	0.0%"
